"","team","W","L","W_L_ratio","SRS","SOS","TM_pt","OPPO_pt","PT_Ratio","Poss","True_S"
"162","Massachusetts",25,11,0.694,9.6,3.77,2934,2724,1.07709251101322,NA,0.544
"163","McNeese State",13,16,0.448,-9.43,-3.59,1875,1931,0.97099948213361,NA,0.502
"164","Memphis",38,2,0.95,23.73,5.76,3196,2477,1.29027048849415,NA,0.546
"165","Mercer",11,19,0.367,-9.81,-5.68,2285,2354,0.970688190314358,NA,0.512
"166","Miami (FL)",23,11,0.676,12.38,7.13,2542,2309,1.10090948462538,NA,0.541
"167","Miami (OH)",17,16,0.515,5.73,3.82,2062,1999,1.03151575787894,NA,0.543
"168","Michigan State",27,9,0.75,16.32,7.68,2564,2253,1.13803817132712,NA,0.56
"169","Michigan",10,22,0.313,3.05,7.99,2006,2164,0.926987060998152,NA,0.492
"170","Middle Tennessee",17,15,0.531,-2.78,-0.23,2180,2216,0.983754512635379,NA,0.557
"171","Milwaukee",14,16,0.467,-0.99,2.19,2007,2062,0.973326867119302,NA,0.488
"172","Minnesota",20,14,0.588,10.27,6.5,2322,2150,1.08,NA,0.532
"173","Mississippi State",23,11,0.676,13.42,5.74,2489,2228,1.11714542190305,NA,0.546
"174","Mississippi Valley State",17,16,0.515,-15.28,-9.5,2036,2174,0.936522539098436,NA,0.485
"175","Mississippi",24,11,0.686,12.29,5.88,2781,2552,1.08973354231975,NA,0.54
"176","Missouri-Kansas City",11,21,0.344,-6.97,-0.37,2198,2384,0.921979865771812,NA,0.53
"177","Missouri State",17,16,0.515,5.65,3.43,2236,2146,1.04193849021435,NA,0.546
"178","Missouri",16,16,0.5,11.75,6.87,2468,2312,1.06747404844291,NA,0.535
"179","Monmouth",7,24,0.226,-13.13,-5.22,1834,2079,0.882154882154882,NA,0.502
"180","Montana State",15,15,0.5,-6.82,-4.85,2180,2167,1.00599907706507,NA,0.553
"181","Montana",14,16,0.467,-4.23,-4,2081,1998,1.04154154154154,NA,0.567
"182","Morehead State",15,15,0.5,-11.27,-6.31,1945,2028,0.959072978303747,NA,0.528
"183","Morgan State",22,11,0.667,-4.25,-8.6,2227,2059,1.08159300631374,NA,0.509
"184","Mount St. Mary's",19,15,0.559,-3.59,-5.12,2353,2301,1.0225988700565,NA,0.535
"185","Murray State",18,13,0.581,-4.42,-6.97,2262,2141,1.05651564689397,NA,0.578
"186","Navy",16,14,0.533,-5.88,-7.68,2289,2208,1.0366847826087,NA,0.526
"187","Nebraska",20,13,0.606,11.31,6.34,2214,2002,1.10589410589411,NA,0.541
"188","Nevada-Las Vegas",27,8,0.771,10.23,4.02,2440,2181,1.11875286565796,NA,0.528
"189","Nevada",21,12,0.636,3.92,-0.11,2488,2330,1.06781115879828,NA,0.565
"190","New Hampshire",9,20,0.31,-9.86,-6.11,1961,2017,0.97223599405057,NA,0.512
"191","New Mexico State",21,14,0.6,5.43,-1.31,2793,2528,1.10482594936709,NA,0.547
"192","New Mexico",24,9,0.727,12.53,1.72,2446,2069,1.18221362977284,NA,0.565
"193","New Orleans",19,13,0.594,-3.06,-3.56,2352,2287,1.02842151289899,NA,0.542
